X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-300, -1900, 1500, 0, image_-000300_-001900_+001500.png, 22, 6, 0
-200, -1900, 1500, 0, image_-000200_-001900_+001500.png, 23, 6, 0
-100, -1900, 1500, 0, image_-000100_-001900_+001500.png, 24, 6, 0
0, -1900, 1500, 0, image_+000000_-001900_+001500.png, 25, 6, 0
100, -1900, 1500, 0, image_+000100_-001900_+001500.png, 26, 6, 0
200, -1900, 1500, 0, image_+000200_-001900_+001500.png, 27, 6, 0
300, -1900, 1500, 0, image_+000300_-001900_+001500.png, 28, 6, 0
400, -1900, 1500, 0, image_+000400_-001900_+001500.png, 29, 6, 0
500, -1900, 1500, 0, image_+000500_-001900_+001500.png, 30, 6, 0
600, -1900, 1500, 0, image_+000600_-001900_+001500.png, 31, 6, 0
700, -1900, 1500, 0, image_+000700_-001900_+001500.png, 32, 6, 0
800, -1900, 1500, 0, image_+000800_-001900_+001500.png, 33, 6, 0
900, -1900, 1500, 0, image_+000900_-001900_+001500.png, 34, 6, 0
1000, -1900, 1500, 0, image_+001000_-001900_+001500.png, 35, 6, 0
1100, -1900, 1500, 0, image_+001100_-001900_+001500.png, 36, 6, 0
1200, -1900, 1500, 0, image_+001200_-001900_+001500.png, 37, 6, 0
1300, -1900, 1500, 0, image_+001300_-001900_+001500.png, 38, 6, 0
1400, -1900, 1500, 0, image_+001400_-001900_+001500.png, 39, 6, 0
1500, -1900, 1500, 0, image_+001500_-001900_+001500.png, 40, 6, 0
1600, -1900, 1500, 0, image_+001600_-001900_+001500.png, 41, 6, 0
1700, -1900, 1500, 0, image_+001700_-001900_+001500.png, 42, 6, 0
1800, -1900, 1500, 0, image_+001800_-001900_+001500.png, 43, 6, 0
